kH,c_analytical
2.946517756925328246e+00,1.980434782608695654e+00
2.950746594136366419e+00,1.979765886287625287e+00
2.951304347826086971e+00,1.979678766126584222e+00
2.954923258991782209e+00,1.979096989966555142e+00
2.959191154542243130e+00,1.978428093645484775e+00
2.959598662207358011e+00,1.978364990681304780e+00
2.963400443133960227e+00,1.977759197324414853e+00
2.967709739443223249e+00,1.977090301003344486e+00
2.967892976588628606e+00,1.977062175988362647e+00
2.971950659636745762e+00,1.976421404682274119e+00
2.976187290969899646e+00,1.975770103335759975e+00
2.976298567194952227e+00,1.975752508361203974e+00
2.980575379005650394e+00,1.975083612040133385e+00
2.984481605351170685e+00,1.974488531736393382e+00
2.984952781849928183e+00,1.974414715719063462e+00
2.989276198061546985e+00,1.973745819397993095e+00
2.992775919732441281e+00,1.973217576371385507e+00
2.993682229168000308e+00,1.973076923076922951e+00
2.998054846652624672e+00,1.972408026755852584e+00
3.001070234113712321e+00,1.971957158881705308e+00
3.002488668025323992e+00,1.971739130434782439e+00
3.006913195038280584e+00,1.971070234113712516e+00
3.009364548494983360e+00,1.970707205962320518e+00
3.011373997077329001e+00,1.970401337792642149e+00
3.015853262005044222e+00,1.969732441471571782e+00
3.017658862876253956e+00,1.969467649369180728e+00
3.020340262984163360e+00,1.969063545150501415e+00
3.024877223783048130e+00,1.968394648829431270e+00
3.025953177257524995e+00,1.968238425935657565e+00
3.029389669440072375e+00,1.967725752508361126e+00
3.033987423839506814e+00,1.967056856187290981e+00
3.034247491638796035e+00,1.967019477598760169e+00
3.038524587084981743e+00,1.966387959866220614e+00
3.042541806020066630e+00,1.965810075200440377e+00
3.043157823180859811e+00,1.965719063545150469e+00
3.047747564385066443e+00,1.965050167224080102e+00
3.050836120401338114e+00,1.964610485407626950e+00
3.052404111439151357e+00,1.964381270903009735e+00
3.057061339580848802e+00,1.963712374581939812e+00
3.059130434782608710e+00,1.963420937924399645e+00
3.061740577479925562e+00,1.963043478260869446e+00
3.066468853813120177e+00,1.962374581939799523e+00
3.067424749163880193e+00,1.962241393693185287e+00
3.071170189319828214e+00,1.961705685618729156e+00
3.075719063545150345e+00,1.961071555976703573e+00
3.075962075038468857e+00,1.961036789297658789e+00
3.080696132702962942e+00,1.960367892976588644e+00
3.084013377926421384e+00,1.959910573625014862e+00
3.085509049847473761e+00,1.959698996655518277e+00
3.090321827142502809e+00,1.959030100334448132e+00
3.092307692307692868e+00,1.958759414208454119e+00
3.095155288142890537e+00,1.958361204013377765e+00
3.100050943581364571e+00,1.957692307692307621e+00
